id_venda;cod_cliente;nom_cliente;cod_vendedor;nom_vendedor;cod_cidade;nom_cidade;cod_produto;Nom_produto;cod_marca;Nom_marca;cod_departamento;nom_departamento;cod_gerencia;nom_gerencia;Ano_venda;Mes_venda;Dia_venda;dtc_venda;qtd_venda;val_venda;num_nota;Latitude;Longitude
13;2;Benito de Paula;4;Daniela Matos;3;Roma;9;Celular  8GB;8;FABER CASTELL;3;Informática;1;Tecnologia;2015;10;3;03/10/2015;3;12.25;797;19434167;-99138611
14;4;Tom Jobim;1;Claudio Silva;5;Budapeste;18;Xbox ;12;ELETROLUX;5;Informática;3;Eletro Eletrônico;2015;3;12;12/03/2015;3;850;391;-6174444;106829444
15;2;Benito de Paula;12;Marilia Cardoso;4;Bagdá;8;Telefone Sem Fio;5;SAMSUNG;2;Eletrodomestico;4;Casa e Decoração;2014;3;13;13/03/2014;1;875;700;40714167;-74006389
16;3;Renato Russo;8;Márcia Brito;2;Nova Iorque;15;Baton;10;BOTICARIO;3;cosmético;3;Eletro Eletrônico;2014;2;15;15/02/2014;3;98.5;241;-43;153
17;1;João do Pulo;9;Diego Santos;5;Budapeste;21;microondas;14;DA CASA;4;Eletrodomestico;1;Tecnologia;2014;3;4;04/03/2014;3;2100;403;3005;3125
18;5;Edson Arantes;1;Claudio Silva;3;Roma;8;Telefone Sem Fio;5;SAMSUNG;4;Eletrodomestico;2;papelaria/cosmético;2014;10;15;15/10/2014;2;875;1427;-1205;-7705
19;4;Tom Jobim;1;Claudio Silva;1;SSA;7;Celular 4Gb;5;SAMSUNG;6;Informática;1;Tecnologia;2014;11;9;09/11/2014;1;52.9;210;39928889;116388333
20;6;Reginaldo Rossi;9;Diego Santos;3;Roma;14;Classificador;9;AVON;4;Papelaria;4;Casa e Decoração;2014;3;1;01/03/2014;2;25;849;51514125;-93689
21;6;Reginaldo Rossi;9;Diego Santos;4;Bagdá;10;Papel A4;8;FABER CASTELL;4;Papelaria;2;papelaria/cosmético;2015;11;3;03/11/2015;1;2.15;409;4649178;-74062827
22;3;Renato Russo;10;Danilo Barreto;4;Bagdá;8;Telefone Sem Fio;5;SAMSUNG;1;Eletrodomestico;1;Tecnologia;2015;11;22;22/11/2015;1;875;1380;23723056;90408611
23;2;Benito de Paula;2;Márcio Barroso;3;Roma;22;Mesa;14;DA CASA;6;Eletrodomestico;2;papelaria/cosmético;2015;3;18;18/03/2015;3;1600;750;31549722;74343611
24;2;Benito de Paula;9;Diego Santos;3;Roma;17;Aparalho de Barbear Elétrico;2;MICROSOFT;6;Eletrodomestico;4;Casa e Decoração;2014;4;19;19/04/2014;3;1075;1492;-229;-43233333
25;6;Reginaldo Rossi;11;Filipe Almeida;4;Bagdá;3;Teclado;1;APPLE;6;Informática;1;Tecnologia;2014;5;10;10/05/2014;1;342.09;1148;33338611;44393889
26;6;Reginaldo Rossi;4;Daniela Matos;1;Salvador;12;Borracha;7;TILIBRA;6;Papelaria;1;Tecnologia;2015;8;18;18/08/2015;2;5.3;842;13753979;100501444
27;5;Edson Arantes;6;Rodrigo Machado;4;Bagdá;16;Perfume;11;PHILIPS;5;cosmético;1;Tecnologia;2014;8;19;19/08/2014;1;135;77;12983333;77583333
28;5;Edson Arantes;5;Maria Braga;2;Nova Iorque;1;TV;3;DELL;3;Eletrodomestico;3;Eletro Eletrônico;2014;7;22;22/07/2014;3;25.15;649;-3345;-70666667
29;4;Tom Jobim;2;Márcio Barroso;2;Nova Iorque;17;Aparalho de Barbear Elétrico;2;MICROSOFT;5;Eletrodomestico;1;Tecnologia;2014;2;10;10/02/2014;1;1075;107;22569722;88369722
30;6;Reginaldo Rossi;12;Marilia Cardoso;3;Roma;5;Computador;4;IBM;6;Informática;3;Eletro Eletrônico;2015;9;24;24/09/2015;1;2125.99;489;43666667;-79416667
31;2;Benito de Paula;6;Rodrigo Machado;3;Roma;1;TV;3;DELL;5;Eletrodomestico;3;Eletro Eletrônico;2014;8;5;05/08/2014;1;25.15;159;16783333;96166667
32;5;Edson Arantes;6;Rodrigo Machado;5;Budapeste;9;Celular  8GB;8;FABER CASTELL;3;Informática;1;Tecnologia;2014;1;9;09/01/2014;2;12.25;307;-33861481;151205475
33;6;Reginaldo Rossi;11;Filipe Almeida;4;Bagdá;7;Celular 4Gb;5;SAMSUNG;2;Informática;2;papelaria/cosmético;2015;11;25;25/11/2015;3;52.9;168;13083333;80283333
34;4;Tom Jobim;9;Diego Santos;4;Bagdá;5;Computador;4;IBM;1;Informática;4;Casa e Decoração;2015;2;4;04/02/2015;2;2125.99;836;30580125;114273405
35;6;Reginaldo Rossi;4;Daniela Matos;3;Roma;17;Aparalho de Barbear Elétrico;2;MICROSOFT;5;Eletrodomestico;1;Tecnologia;2014;8;17;17/08/2014;2;1075;1253;59894444;30264167
36;6;Reginaldo Rossi;10;Danilo Barreto;3;Roma;3;Teclado;1;APPLE;3;Informática;1;Tecnologia;2015;2;24;24/02/2015;1;342.09;1431;29562778;106552778
37;6;Reginaldo Rossi;3;Issac Palmeiras;3;Roma;11;Caneta ;8;FABER CASTELL;2;Papelaria;2;papelaria/cosmético;2015;4;10;10/04/2015;1;0.5;1160;34258333;108928611
38;1;João do Pulo;6;Rodrigo Machado;3;Roma;3;Teclado;1;APPLE;3;Informática;4;Casa e Decoração;2015;3;19;19/03/2015;1;342.09;155;30666667;104066667
39;3;Renato Russo;9;Diego Santos;5;Budapeste;15;Baton;10;BOTICARIO;5;cosmético;3;Eletro Eletrônico;2015;7;16;16/07/2015;3;98.5;251;34052222;-118242778
40;2;Benito de Paula;6;Rodrigo Machado;1;Salvador;2;Mouse;2;MICROSOFT;1;Informática;2;papelaria/cosmético;2014;2;10;10/02/2014;1;25.9;913;31198056;29919167
41;5;Edson Arantes;12;Marilia Cardoso;5;Budapeste;5;Computador;4;IBM;6;Informática;1;Tecnologia;2014;9;9;09/09/2014;3;2125.99;54;39142222;117176667
42;4;Tom Jobim;12;Marilia Cardoso;2;Nova Iorque;14;Classificador;9;AVON;6;Papelaria;1;Tecnologia;2014;11;27;27/11/2014;3;25;1101;-37813938;144963425
43;2;Benito de Paula;6;Rodrigo Machado;5;Budapeste;3;Teclado;1;APPLE;3;Informática;2;papelaria/cosmético;2014;10;1;01/10/2014;2;342.09;860;23033333;72616667
44;4;Tom Jobim;8;Márcia Brito;1;SSA;17;Aparalho de Barbear Elétrico;2;MICROSOFT;1;Eletrodomestico;2;papelaria/cosmético;2014;5;19;19/05/2014;2;1075;182;5309657;-4012656
45;2;Benito de Paula;11;Filipe Almeida;2;Nova Iorque;17;Aparalho de Barbear Elétrico;2;MICROSOFT;2;Eletrodomestico;2;papelaria/cosmético;2015;2;23;23/02/2015;1;1075;1110;11994354;8513807
46;1;João do Pulo;1;Claudio Silva;2;Nova Iorque;18;Xbox ;12;ELETROLUX;5;Informática;4;Casa e Decoração;2015;1;9;09/01/2015;1;850;621;33592779;-7619157
47;1;João do Pulo;2;Márcio Barroso;4;Bagdá;2;Mouse;2;MICROSOFT;2;Informática;3;Eletro Eletrônico;2015;10;27;27/10/2015;3;25.9;9;17375278;78474444
48;2;Benito de Paula;11;Filipe Almeida;2;NY;20;Geladeira;12;ELETROLUX;5;Eletrodomestico;2;papelaria/cosmético;2015;1;12;12/01/2015;3;350;1098;7387778;3896389
49;1;João do Pulo;2;Márcio Barroso;3;Roma;5;Computador;4;IBM;6;Informática;4;Casa e Decoração;2014;12;15;15/12/2014;2;2125.99;1304;1293056;103855833
50;3;Renato Russo;12;Marilia Cardoso;3;Roma;19;Fogão;13;BRASTEMP;3;Eletrodomestico;4;Casa e Decoração;2014;5;11;11/05/2014;3;1500;953;39911652;32840305
51;3;Renato Russo;3;Issac Palmeiras;3;Roma;23;Sofá;14;DA CASA;1;Eletrodomestico;1;Tecnologia;2015;5;26;26/05/2015;1;300;848;41792222;123432778
52;3;Renato Russo;11;Filipe Almeida;5;Budapeste;22;Mesa;14;DA CASA;2;Eletrodomestico;4;Casa e Decoração;2015;11;26;26/11/2015;3;1600;1451;24653664;4671522
53;2;Benito de Paula;10;Danilo Barreto;2;Nova Iorque;1;TV;3;DELL;1;Eletrodomestico;2;papelaria/cosmético;2015;9;9;09/09/2015;3;25.15;1245;1075;106666667
54;2;Benito de Paula;5;Maria Braga;3;Roma;9;Celular  8GB;8;FABER CASTELL;4;Informática;1;Tecnologia;2015;12;24;24/12/2015;3;12.25;646;-33925839;18423218
55;2;Benito de Paula;5;Maria Braga;3;Roma;2;Mouse;2;MICROSOFT;6;Informática;1;Tecnologia;2014;12;13;13/12/2014;2;25.9;911;52516667;134
56;6;Reginaldo Rossi;10;Danilo Barreto;2;Nova Iorque;7;Celular 4Gb;5;SAMSUNG;1;Informática;1;Tecnologia;2014;1;15;15/01/2014;2;52.9;1354;455;-73583333
57;1;João do Pulo;3;Issac Palmeiras;1;Salvador;13;Estojo;7;TILIBRA;4;Papelaria;4;Casa e Decoração;2014;8;1;01/08/2014;3;3.2;264;4575;12665
58;2;Benito de Paula;9;Diego Santos;3;Roma;13;Estojo;7;TILIBRA;4;Papelaria;3;Eletro Eletrônico;2015;7;15;15/07/2015;1;3.2;198;23116667;11325
59;4;Tom Jobim;9;Diego Santos;5;Budapeste;3;Teclado;1;APPLE;6;Informática;4;Casa e Decoração;2014;2;2;02/02/2014;1;342.09;848;-29857896;31029198
60;6;Reginaldo Rossi;5;Maria Braga;3;Roma;22;Mesa;14;DA CASA;5;Eletrodomestico;2;papelaria/cosmético;2015;7;13;13/07/2015;2;1600;314;40408566;-369222
61;3;Renato Russo;9;Diego Santos;2;Nova Iorque;9;Celular  8GB;8;FABER CASTELL;6;Informática;1;Tecnologia;2015;6;14;14/06/2015;1;12.25;1422;32061667;118777778
62;1;João do Pulo;8;Márcia Brito;2;Nova Iorque;21;microondas;14;DA CASA;5;Eletrodomestico;3;Eletro Eletrônico;2015;11;10;10/11/2015;3;2100;215;34516667;69183333
63;1;João do Pulo;7;João Oliveira;3;Roma;13;Estojo;7;TILIBRA;6;Papelaria;3;Eletro Eletrônico;2015;2;18;18/02/2015;3;3.2;490;18533333;73866667
64;4;Tom Jobim;9;Diego Santos;1;Salvador;4;Monitor;4;IBM;6;Informática;1;Tecnologia;2014;3;23;23/03/2014;1;1300;641;20966667;729
65;2;Benito de Paula;5;Maria Braga;2;Nova Iorque;20;Geladeira;12;ELETROLUX;4;Eletrodomestico;3;Eletro Eletrônico;2014;11;23;23/11/2014;1;350;347;4185;-8765
66;2;Benito de Paula;6;Rodrigo Machado;1;Salvador;7;Celular 4Gb;5;SAMSUNG;4;Informática;2;papelaria/cosmético;2015;9;16;16/09/2015;3;52.9;699;26466667;8035
67;3;Renato Russo;2;Márcio Barroso;3;Roma;14;Classificador;9;AVON;3;Papelaria;3;Eletro Eletrônico;2015;11;17;17/11/2015;3;25;323;15636111;32437222
68;5;Edson Arantes;4;Daniela Matos;1;Salvador;22;Mesa;14;DA CASA;5;Eletrodomestico;4;Casa e Decoração;2014;11;10;10/11/2014;1;1600;762;-8836804;13233174
69;5;Edson Arantes;12;Marilia Cardoso;2;NY;15;Baton;10;BOTICARIO;5;cosmético;3;Eletro Eletrônico;2015;3;19;19/03/2015;1;98.5;934;9024325;38749226
70;6;Reginaldo Rossi;10;Danilo Barreto;5;Budapeste;21;microondas;14;DA CASA;2;Eletrodomestico;4;Casa e Decoração;2014;4;11;11/04/2014;1;2100;1326;-1283333;36816667
71;5;Edson Arantes;10;Danilo Barreto;5;Budapeste;22;Mesa;14;DA CASA;5;Eletrodomestico;2;papelaria/cosmético;2015;4;15;15/04/2015;3;1600;1494;37726944;112470833
72;1;João do Pulo;6;Rodrigo Machado;3;Roma;22;Mesa;14;DA CASA;5;Eletrodomestico;3;Eletro Eletrônico;2015;1;15;15/01/2015;1;1600;234;26916667;75816667
73;4;Tom Jobim;9;Diego Santos;1;Salvador;19;Fogão;13;BRASTEMP;1;Eletrodomestico;1;Tecnologia;2015;2;8;08/02/2015;2;1500;1327;-12983333;-38516667
74;5;Edson Arantes;12;Marilia Cardoso;4;Bagdá;3;Teclado;1;APPLE;3;Informática;2;papelaria/cosmético;2015;7;1;01/07/2015;1;342.09;1437;14670833;-17438056
75;4;Tom Jobim;10;Danilo Barreto;5;Budapeste;4;Monitor;4;IBM;1;Informática;3;Eletro Eletrônico;2015;1;7;07/01/2015;3;1300;933;-68;39283333
76;5;Edson Arantes;10;Danilo Barreto;2;NY;3;Teclado;1;APPLE;1;Informática;3;Eletro Eletrônico;2015;11;8;08/11/2015;2;342.09;707;419;12483333
77;1;João do Pulo;3;Issac Palmeiras;2;NY;3;Teclado;1;APPLE;1;Informática;4;Casa e Decoração;2015;9;16;16/09/2015;3;342.09;829;2066667;45366667
78;4;Tom Jobim;3;Issac Palmeiras;2;NY;7;Celular 4Gb;5;SAMSUNG;4;Informática;4;Casa e Decoração;2015;6;2;02/06/2015;3;52.9;947;21516944;39219167
79;1;João do Pulo;4;Daniela Matos;1;Salvador;8;Telefone Sem Fio;5;SAMSUNG;2;Eletrodomestico;1;Tecnologia;2014;4;25;25/04/2014;3;875;14;4388;125322778
80;2;Benito de Paula;9;Diego Santos;4;Bagdá;22;Mesa;14;DA CASA;6;Eletrodomestico;2;papelaria/cosmético;2014;1;11;11/01/2014;2;1600;79;25039167;121525
81;3;Renato Russo;8;Márcia Brito;5;Budapeste;11;Caneta ;8;FABER CASTELL;3;Papelaria;3;Eletro Eletrônico;2015;10;2;02/10/2015;3;0.5;827;50433333;30516667
82;6;Reginaldo Rossi;12;Marilia Cardoso;2;NY;14;Classificador;9;AVON;1;Papelaria;1;Tecnologia;2014;12;1;01/12/2014;3;25;556;31416667;73083333
83;5;Edson Arantes;10;Danilo Barreto;2;NY;4;Monitor;4;IBM;3;Informática;4;Casa e Decoração;2014;5;26;26/05/2014;3;1300;623;38412726;27138376
84;3;Renato Russo;8;Márcia Brito;4;Bagdá;21;microondas;14;DA CASA;4;Eletrodomestico;2;papelaria/cosmético;2015;2;5;05/02/2015;1;2100;36;2685;80916667
85;4;Tom Jobim;4;Daniela Matos;4;Bagdá;18;Xbox ;12;ELETROLUX;5;Informática;2;papelaria/cosmético;2015;3;5;05/03/2015;2;850;536;30008611;31212222
86;3;Renato Russo;9;Diego Santos;3;Roma;2;Mouse;2;MICROSOFT;3;Informática;3;Eletro Eletrônico;2015;10;19;19/10/2015;3;25.9;936;-3316667;-41416667
87;3;Renato Russo;8;Márcia Brito;1;Salvador;21;microondas;14;DA CASA;4;Eletrodomestico;4;Casa e Decoração;2014;12;16;16/12/2014;3;2100;37;3437222;-765225
88;2;Benito de Paula;5;Maria Braga;3;Roma;22;Mesa;14;DA CASA;6;Eletrodomestico;4;Casa e Decoração;2014;1;5;05/01/2014;2;1600;710;-7249167;112750833
89;4;Tom Jobim;2;Márcio Barroso;5;Budapeste;2;Mouse;2;MICROSOFT;1;Informática;3;Eletro Eletrônico;2014;2;6;06/02/2014;1;25.9;13;-19916667;-43933333
90;6;Reginaldo Rossi;1;Claudio Silva;4;Bagdá;15;Baton;10;BOTICARIO;6;cosmético;3;Eletro Eletrônico;2015;3;11;11/03/2015;3;98.5;754;36297;596062
91;1;João do Pulo;4;Daniela Matos;5;Budapeste;2;Mouse;2;MICROSOFT;5;Informática;4;Casa e Decoração;2015;10;3;03/10/2015;1;25.9;1259;2115;791
92;2;Benito de Paula;4;Daniela Matos;2;NY;16;Perfume;11;PHILIPS;2;cosmético;2;papelaria/cosmético;2014;3;21;21/03/2014;3;135;141;-17817778;31044722
93;2;Benito de Paula;12;Marilia Cardoso;3;Roma;3;Teclado;1;APPLE;4;Informática;4;Casa e Decoração;2014;7;3;03/07/2014;3;342.09;1322;-15783333;-47916667
94;3;Renato Russo;12;Marilia Cardoso;2;NY;8;Telefone Sem Fio;5;SAMSUNG;4;Eletrodomestico;1;Tecnologia;2014;7;24;24/07/2014;3;875;969;18466667;-699
95;6;Reginaldo Rossi;11;Filipe Almeida;3;Roma;3;Teclado;1;APPLE;6;Informática;2;papelaria/cosmético;2014;4;1;01/04/2014;2;342.09;683;35180198;136906739
96;3;Renato Russo;2;Márcio Barroso;2;NY;14;Classificador;9;AVON;4;Papelaria;3;Eletro Eletrônico;2015;5;2;02/05/2015;2;25;927;36202778;37158611
97;1;João do Pulo;10;Danilo Barreto;4;Bagdá;15;Baton;10;BOTICARIO;4;cosmético;1;Tecnologia;2014;8;12;12/08/2014;3;98.5;1493;48866667;2333333
98;6;Reginaldo Rossi;12;Marilia Cardoso;4;Bagdá;6;Notebook ;5;SAMSUNG;1;Informática;2;papelaria/cosmético;2014;12;19;19/12/2014;1;550;40;36668333;116997222
99;1;João do Pulo;12;Marilia Cardoso;1;Salvador;10;Papel A4;8;FABER CASTELL;6;Papelaria;3;Eletro Eletrônico;2014;4;15;15/04/2014;1;2.15;952;373325;114701389
100;3;Renato Russo;4;Daniela Matos;1;Salvador;3;Teclado;1;APPLE;3;Informática;1;Tecnologia;2014;2;1;01/02/2014;1;342.09;252;38912222;121602222
101;6;Reginaldo Rossi;7;João Oliveira;2;NY;9;Celular  8GB;8;FABER CASTELL;3;Informática;2;papelaria/cosmético;2015;1;10;10/01/2015;3;12.25;197;29763056;-95363056
102;2;Benito de Paula;4;Daniela Matos;1;Salvador;19;Fogão;13;BRASTEMP;2;Eletrodomestico;3;Eletro Eletrônico;2015;11;23;23/11/2015;2;1500;422;-26205171;28049815
103;4;Tom Jobim;4;Daniela Matos;2;NY;15;Baton;10;BOTICARIO;6;cosmético;3;Eletro Eletrônico;2015;3;21;21/03/2015;2;98.5;81;625184;-75563591
104;1;João do Pulo;2;Márcio Barroso;5;Budapeste;13;Estojo;7;TILIBRA;6;Papelaria;3;Eletro Eletrônico;2014;10;3;03/10/2014;1;3.2;1428;36763056;3050556
105;2;Benito de Paula;6;Rodrigo Machado;3;Roma;12;Borracha;7;TILIBRA;4;Papelaria;2;papelaria/cosmético;2015;5;26;26/05/2015;3;5.3;286;41316667;6925
106;1;João do Pulo;4;Daniela Matos;3;Roma;11;Caneta ;8;FABER CASTELL;6;Papelaria;2;papelaria/cosmético;2014;3;23;23/03/2014;2;0.5;1487;15588056;32534167
107;1;João do Pulo;7;João Oliveira;3;Roma;16;Perfume;11;PHILIPS;2;cosmético;1;Tecnologia;2015;10;16;16/10/2015;1;135;308;555;-216667
108;2;Benito de Paula;3;Issac Palmeiras;5;Budapeste;20;Geladeira;12;ELETROLUX;5;Eletrodomestico;2;papelaria/cosmético;2015;4;27;27/04/2015;2;350;257;-2166667;-799
109;1;João do Pulo;9;Diego Santos;2;NY;17;Aparalho de Barbear Elétrico;2;MICROSOFT;2;Eletrodomestico;2;papelaria/cosmético;2014;8;25;25/08/2014;1;1075;1293;10631667;-71640556
110;3;Renato Russo;2;Márcio Barroso;1;Salvador;6;Notebook ;5;SAMSUNG;5;Informática;3;Eletro Eletrônico;2014;4;22;22/04/2014;3;550;916;34013784;-6844268
111;4;Tom Jobim;4;Daniela Matos;5;Budapeste;10;Papel A4;8;FABER CASTELL;6;Papelaria;3;Eletro Eletrônico;2015;3;1;01/03/2015;2;2.15;208;43850833;126560278
112;4;Tom Jobim;12;Marilia Cardoso;1;Salvador;23;Sofá;14;DA CASA;5;Eletrodomestico;4;Casa e Decoração;2015;1;19;19/01/2015;1;300;177;3029365;120161419
113;1;João do Pulo;4;Daniela Matos;4;Bagdá;10;Papel A4;8;FABER CASTELL;1;Papelaria;2;papelaria/cosmético;2014;9;10;10/09/2014;3;2.15;1386;44433333;261
114;4;Tom Jobim;2;Márcio Barroso;4;Bagdá;19;Fogão;13;BRASTEMP;5;Eletrodomestico;1;Tecnologia;2015;4;19;19/04/2015;1;1500;1391;2855;115933333
115;2;Benito de Paula;8;Márcia Brito;1;SSA;8;Telefone Sem Fio;5;SAMSUNG;4;Eletrodomestico;4;Casa e Decoração;2015;6;14;14/06/2015;3;875;657;9509167;-13712222
116;5;Edson Arantes;8;Márcia Brito;4;Bagdá;2;Mouse;2;MICROSOFT;1;Informática;4;Casa e Decoração;2015;12;24;24/12/2015;2;25.9;710;-2747101;153024292
117;4;Tom Jobim;8;Márcia Brito;1;SSA;11;Caneta ;8;FABER CASTELL;6;Papelaria;1;Tecnologia;2015;12;12;12/12/2015;1;0.5;527;4925;-123133333
118;5;Edson Arantes;5;Maria Braga;3;Roma;14;Classificador;9;AVON;3;Papelaria;2;papelaria/cosmético;2014;11;11;11/11/2014;2;25;418;22716667;75833333
119;4;Tom Jobim;9;Diego Santos;4;Bagdá;2;Mouse;2;MICROSOFT;6;Informática;3;Eletro Eletrônico;2015;6;24;24/06/2015;2;25.9;622;105;-66916667
120;5;Edson Arantes;1;Claudio Silva;4;Bagdá;14;Classificador;9;AVON;6;Papelaria;3;Eletro Eletrônico;2014;2;19;19/02/2014;3;25;924;19601111;-990525
121;3;Renato Russo;12;Marilia Cardoso;1;SSA;23;Sofá;14;DA CASA;5;Eletrodomestico;4;Casa e Decoração;2015;9;4;04/09/2015;1;300;100;35685;139751389
122;6;Reginaldo Rossi;12;Marilia Cardoso;5;Budapeste;6;Notebook ;5;SAMSUNG;6;Informática;4;Casa e Decoração;2014;11;12;12/11/2014;2;550;349;31045556;121399722
123;4;Tom Jobim;5;Maria Braga;4;Bagdá;5;Computador;4;IBM;4;Informática;4;Casa e Decoração;2015;11;17;17/11/2015;2;2125.99;214;18975;72825833
124;3;Renato Russo;2;Márcio Barroso;4;Bagdá;22;Mesa;14;DA CASA;3;Eletrodomestico;1;Tecnologia;2015;10;3;03/10/2015;3;1600;435;249056;670822
125;6;Reginaldo Rossi;2;Márcio Barroso;4;Bagdá;1;TV;3;DELL;4;Eletrodomestico;3;Eletro Eletrônico;2015;8;19;19/08/2015;1;25.15;49;28666667;77216667
126;5;Edson Arantes;9;Diego Santos;3;Roma;13;Estojo;7;TILIBRA;2;Papelaria;2;papelaria/cosmético;2014;12;10;10/12/2014;3;3.2;1407;286;772
127;3;Renato Russo;4;Daniela Matos;2;NY;16;Perfume;11;PHILIPS;6;cosmético;3;Eletro Eletrônico;2015;5;11;11/05/2015;3;135;743;146042;1209822
128;1;João do Pulo;10;Danilo Barreto;4;Bagdá;11;Caneta ;8;FABER CASTELL;1;Papelaria;4;Casa e Decoração;2014;12;15;15/12/2014;1;0.5;1435;55752222;37615556
129;2;Benito de Paula;8;Márcia Brito;5;Budapeste;14;Classificador;9;AVON;2;Papelaria;2;papelaria/cosmético;2015;12;20;20/12/2015;1;25;1348;375985;1269783
130;6;Reginaldo Rossi;5;Maria Braga;2;NY;8;Telefone Sem Fio;5;SAMSUNG;3;Eletrodomestico;3;Eletro Eletrônico;2014;8;24;24/08/2014;3;875;1199;-23473293;-46665803
131;6;Reginaldo Rossi;8;Márcia Brito;2;NY;3;Teclado;1;APPLE;6;Informática;2;papelaria/cosmético;2015;11;19;19/11/2015;1;342.09;115;41018611;28964722
132;6;Reginaldo Rossi;1;Claudio Silva;5;Budapeste;17;Aparalho de Barbear Elétrico;2;MICROSOFT;1;Eletrodomestico;2;papelaria/cosmético;2014;5;10;10/05/2014;2;1075;432;6453056;3395833
133;3;Renato Russo;4;Daniela Matos;3;Roma;3;Teclado;1;APPLE;1;Informática;2;papelaria/cosmético;2014;1;13;13/01/2014;1;342.09;1134;19434167;-99138611
134;4;Tom Jobim;5;Maria Braga;5;Budapeste;8;Telefone Sem Fio;5;SAMSUNG;4;Eletrodomestico;2;papelaria/cosmético;2014;2;8;08/02/2014;1;875;559;-6174444;106829444
135;4;Tom Jobim;12;Marilia Cardoso;3;Roma;11;Caneta ;8;FABER CASTELL;3;Papelaria;2;papelaria/cosmético;2015;1;2;02/01/2015;3;0.5;695;40714167;-74006389
136;1;João do Pulo;5;Maria Braga;2;NY;15;Baton;10;BOTICARIO;3;cosmético;1;Tecnologia;2014;8;20;20/08/2014;1;98.5;1024;-43;153
137;3;Renato Russo;1;Claudio Silva;2;NY;16;Perfume;11;PHILIPS;5;cosmético;1;Tecnologia;2015;5;2;02/05/2015;-1;135;645;3005;3125
138;4;Tom Jobim;5;Maria Braga;3;Roma;18;Xbox ;12;ELETROLUX;2;Informática;1;Tecnologia;2014;6;20;20/06/2014;3;850;240;-1205;-7705
139;4;Tom Jobim;9;Diego Santos;5;Budapeste;2;Mouse;2;MICROSOFT;3;Informática;2;papelaria/cosmético;2015;2;4;04/02/2015;3;25.9;1357;39928889;116388333
140;1;João do Pulo;11;Filipe Almeida;1;SSA;23;Sofá;14;DA CASA;4;Eletrodomestico;3;Eletro Eletrônico;2014;5;16;16/05/2014;1;300;291;51514125;-93689
141;5;Edson Arantes;8;Márcia Brito;2;NY;3;Teclado;1;APPLE;5;Informática;4;Casa e Decoração;2014;8;22;22/08/2014;2;342.09;1360;4649178;-74062827
142;6;Reginaldo Rossi;1;Claudio Silva;3;Roma;20;Geladeira;12;ELETROLUX;2;Eletrodomestico;1;Tecnologia;2015;1;9;09/01/2015;1;350;155;23723056;90408611
143;2;Benito de Paula;4;Daniela Matos;4;Bagdá;12;Borracha;7;TILIBRA;3;Papelaria;3;Eletro Eletrônico;2015;8;22;22/08/2015;2;5.3;947;31549722;74343611
